,precision,recall,f1-score,support,split
0,0.6238841978287093,0.7570257611241218,0.6840365031080545,3416.0,train
1,0.8729799612152553,0.7551020408163265,0.809773647129366,3577.0,train
2,0.8520104687128242,0.9944459872257706,0.9177344951307022,3601.0,train
3,0.7397160538769567,0.5652294853963838,0.640807316304005,3595.0,train
accuracy,0.7682007188667277,0.7682007188667277,0.7682007188667277,0.7682007188667277,train
macro avg,0.7721476704084363,0.7679508186406507,0.7630879904180319,14189.0,train
weighted avg,0.7739239306908435,0.7682007188667277,0.7640914264202842,14189.0,train
0,0.5144508670520231,0.898989898989899,0.6544117647058824,99.0,val
1,0.96,0.732824427480916,0.8311688311688312,262.0,val
2,0.8431372549019608,0.9772727272727273,0.9052631578947369,44.0,val
3,0.6296296296296297,0.51,0.56353591160221,100.0,val
accuracy,0.7425742574257426,0.7425742574257426,0.7425742574257426,0.7425742574257426,val
macro avg,0.7368044378959034,0.7797717634358856,0.7385949163429152,505.0,val
weighted avg,0.7970527485481179,0.7425742574257426,0.7499765714449614,505.0,val
